B BEAUTY LIMITED;9441819;;;73 SIWARD ROAD;;BROMLEY;KENT;ENGLAND;BR2 9JY;Private Limited Company;Active;United Kingdom;;16/02/2015;28;2;30/11/2019;28/02/2018;;6/5/2017;8/4/2016;0;0;0;0;47910 - Retail sale via mail order houses or via Internet;;;;0;0;http://business.data.gov.uk/id/company/09441819;;;;;;;;;;;;;;;;;;;;;22/04/2019;8/4/2018
B C IRWIN LTD;4711159;;;4 HOLMFIELD AVENUE;STONEYGATE;LEICESTER;;;LE2 2BF;Private Limited Company;Active;United Kingdom;;25/03/2003;31;3;31/12/2018;31/03/2017;TOTAL EXEMPTION FULL;22/04/2017;25/03/2016;0;0;0;0;47910 - Retail sale via mail order houses or via Internet;;;;0;0;http://business.data.gov.uk/id/company/04711159;;;;;;;;;;;;;;;;;;;;;8/4/2019;25/03/2018
B C T ENTERPRISES LIMITED;3232507;;;BORDER COLLIE TRUST GB HEATHWAY;COLTON;RUGELEY;STAFFORDSHIRE;;WS15 3LY;Private Limited Company;Active;United Kingdom;;1/8/1996;31;3;31/12/2018;31/03/2017;;25/08/2016;28/07/2015;0;0;0;0;47910 - Retail sale via mail order houses or via Internet;;;;0;0;http://business.data.gov.uk/id/company/03232507;;;;;;;;;;;;;;;;;;;;;11/8/2019;28/07/2018
B CONNECTION LTD.;10477695;;;103 EAST END ROAD EAST END ROAD;EAST FINCHLEY;LONDON;;ENGLAND;N2 0SU;Private Limited Company;Active;United Kingdom;;14/11/2016;30;11;14/08/2018;;NO ACCOUNTS FILED;12/12/2017;;0;0;0;0;47910 - Retail sale via mail order houses or via Internet;;;;0;0;http://business.data.gov.uk/id/company/10477695;;;;;;;;;;;;;;;;;;;;;27/11/2018;13/11/2017
B FOR BOUTIQUE LIMITED;10925183;;;158 VIKING;;BRACKNELL;;UNITED KINGDOM;RG12 8UW;Private Limited Company;Active;United Kingdom;;21/08/2017;31;8;21/05/2019;;NO ACCOUNTS FILED;18/09/2018;;0;0;0;0;47910 - Retail sale via mail order houses or via Internet;;;;0;0;http://business.data.gov.uk/id/company/10925183;;;;;;;;;;;;;;;;;;;;;3/9/2019;20/08/2018
B GIFTED LTD;7375052;;;10 COPT ELM ROAD;CHARLTON KINGS;CHELTENHAM;GLOUCESTERSHIRE;;GL53 8AB;Private Limited Company;Active;United Kingdom;;14/09/2010;31;3;31/12/2018;31/03/2017;TOTAL EXEMPTION FULL;12/10/2016;14/09/2015;0;0;0;0;47910 - Retail sale via mail order houses or via Internet;;;;0;0;http://business.data.gov.uk/id/company/07375052;14/02/2014;SILVER B LTD;;;;;;;;;;;;;;;;;;;28/09/2018;14/09/2017
B H ENTERPRISE LTD;11323375;;;50 HORSE FAIR LANE;ROTHWELL;KETTERING;;UNITED KINGDOM;NN14 6GX;Private Limited Company;Active;United Kingdom;;23/04/2018;30;4;23/01/2020;;NO ACCOUNTS FILED;21/05/2019;;0;0;0;0;47910 - Retail sale via mail order houses or via Internet;;;;0;0;http://business.data.gov.uk/id/company/11323375;;;;;;;;;;;;;;;;;;;;;6/5/2019;
B HIVE INTERNATIONAL LIMITED;10628134;;;204 CLEMENTS ROAD;;BIRMINGHAM;WEST MIDLANDS;UNITED KINGDOM;B25 8TS;Private Limited Company;Active;United Kingdom;;20/02/2017;28;2;20/11/2018;;NO ACCOUNTS FILED;20/03/2018;;0;0;0;0;47910 - Retail sale via mail order houses or via Internet;;;;0;0;http://business.data.gov.uk/id/company/10628134;;;;;;;;;;;;;;;;;;;;;5/3/2019;19/02/2018
B I JOHNSON MARKETING LIMITED;10534835;;;73 GLEBE CRESCENT;BROOMFIELD;CHELMSFORD;ESSEX;UNITED KINGDOM;CM1 7BH;Private Limited Company;Active;United Kingdom;;21/12/2016;31;12;21/09/2018;;NO ACCOUNTS FILED;18/01/2018;;0;0;0;0;47910 - Retail sale via mail order houses or via Internet;;;;0;0;http://business.data.gov.uk/id/company/10534835;;;;;;;;;;;;;;;;;;;;;3/1/2019;20/12/2017
B JAY LIMITED;8472829;;;25 CENTRAL AVENUE;NEW BASFORD;NOTTINGHAM;NOTTINGHAMSHIRE;;NG7 7AG;Private Limited Company;Active;United Kingdom;;4/4/2013;31;3;31/12/2018;31/03/2017;UNAUDITED ABRIDGED;2/5/2017;4/4/2016;0;0;0;0;47910 - Retail sale via mail order houses or via Internet;;;;0;0;http://business.data.gov.uk/id/company/08472829;;;;;;;;;;;;;;;;;;;;;18/04/2019;4/4/2018
