BACK TO BACK CREATIONS LTD;11093135;;;WELLINGTON HOUSE 273-275 HIGH STREET;LONDON COLNEY;ST ALBANS;HERTFORDSHIRE;ENGLAND;AL2 1HA;Private Limited Company;Active;United Kingdom;;4/12/2017;31;12;4/9/2019;;NO ACCOUNTS FILED;1/1/2019;;0;0;0;0;59111 - Motion picture production activities;;;;0;0;http://business.data.gov.uk/id/company/11093135;;;;;;;;;;;;;;;;;;;;;17/12/2018;
BACK TO THE PLANET LIMITED;6228688;;;141 WHITELADIES ROAD;;CLIFTON;BRISTOL;;BS8 2QB;Private Limited Company;Liquidation;United Kingdom;;27/04/2007;31;8;31/05/2016;31/08/2014;TOTAL EXEMPTION SMALL;25/05/2016;27/04/2015;2;2;0;0;59111 - Motion picture production activities;;;;0;0;http://business.data.gov.uk/id/company/06228688;;;;;;;;;;;;;;;;;;;;;11/5/2017;
BACKDROP LTD;5322721;;;GREEN END FARM GREEN END;SANDON;BUNTINGFORD;HERTFORDSHIRE;;SG9 0RQ;Private Limited Company;Active;United Kingdom;;4/1/2005;31;1;31/10/2019;31/01/2018;TOTAL EXEMPTION FULL;1/2/2017;4/1/2016;0;0;0;0;59111 - Motion picture production activities;;;;0;0;http://business.data.gov.uk/id/company/05322721;;;;;;;;;;;;;;;;;;;;;18/01/2019;4/1/2018
BACKGROUND NOISE PRODUCTIONS LTD.;8619195;;;85 NORTHWAY;WOOSEHILL;WOKINGHAM;BERKSHIRE;;RG41 3PQ;Private Limited Company;Active;United Kingdom;;22/07/2013;31;7;30/04/2019;31/07/2017;;19/08/2016;22/07/2015;0;0;0;0;59111 - Motion picture production activities;59112 - Video production activities;;;0;0;http://business.data.gov.uk/id/company/08619195;;;;;;;;;;;;;;;;;;;;;5/8/2019;22/07/2018
BACKLIGHT & SMOKE LTD;7821876;;;AVALAND HOUSE;110 LONDON ROAD;HEMEL HEMPSTEAD;HERTFORDSHIRE;;HP3 9SD;Private Limited Company;Active;United Kingdom;;25/10/2011;31;10;31/07/2019;31/10/2017;TOTAL EXEMPTION FULL;22/11/2016;25/10/2015;0;0;0;0;59111 - Motion picture production activities;;;;0;0;http://business.data.gov.uk/id/company/07821876;;;;;;;;;;;;;;;;;;;;;8/11/2018;25/10/2017
BACKLIGHT VISUALS LIMITED;9945381;;;38 KIRKHILL AVENUE;HASLINGDEN;ROSSENDALE;;ENGLAND;BB4 6UB;Private Limited Company;Active;United Kingdom;;11/1/2016;31;1;31/10/2018;31/01/2017;DORMANT;8/2/2017;;0;0;0;0;59111 - Motion picture production activities;;;;0;0;http://business.data.gov.uk/id/company/09945381;;;;;;;;;;;;;;;;;;;;;24/01/2019;10/1/2018
BACKWELL PRODUCTIONS LIMITED;8393310;;;15 GOLDEN SQUARE;;LONDON;;;W1F 9JG;Private Limited Company;Active;United Kingdom;;7/2/2013;28;3;28/12/2018;4/4/2017;SMALL;7/3/2017;7/2/2016;9;9;0;0;59111 - Motion picture production activities;59113 - Television programme production activities;;;0;0;http://business.data.gov.uk/id/company/08393310;;;;;;;;;;;;;;;;;;;;;21/02/2019;7/2/2018
BAD APPLE PRODUCTIONS LIMITED;5743282;;;HARBEN HOUSE HARBEN PARADE;FINCHLEY ROAD;LONDON;;;NW3 6LH;Private Limited Company;Active;United Kingdom;;15/03/2006;31;3;31/12/2018;31/03/2017;TOTAL EXEMPTION FULL;12/4/2017;15/03/2016;0;0;0;0;59111 - Motion picture production activities;59112 - Video production activities;;;0;0;http://business.data.gov.uk/id/company/05743282;21/08/2006;DAZZLING IMAGE LIMITED;;;;;;;;;;;;;;;;;;;29/03/2019;15/03/2018
BAD BLOOD FILMS LIMITED;8549305;;;7 EASTBURY WAY;;SWINDON;;;SN25 2EL;Private Limited Company;Active;United Kingdom;;30/05/2013;31;5;28/02/2019;31/05/2017;DORMANT;27/06/2017;30/05/2016;0;0;0;0;59111 - Motion picture production activities;;;;0;0;http://business.data.gov.uk/id/company/08549305;;;;;;;;;;;;;;;;;;;;;13/06/2019;30/05/2018
B C PROPS LTD;11420084;;;112 URMSTON LANE;STRETFORD;MANCHESTER;;UNITED KINGDOM;M32 9BQ;Private Limited Company;Active;United Kingdom;;18/06/2018;30;6;18/03/2020;;NO ACCOUNTS FILED;16/07/2019;;0;0;0;0;59113 - Television programme production activities;;;;0;0;http://business.data.gov.uk/id/company/11420084;;;;;;;;;;;;;;;;;;;;;1/7/2019;
